frame_idx,t,dt,keys_down
0,1774234376.596657,0.003703,[]
1,1774234376.657455,0.060798,[]
2,1774234376.746678,0.089223,[]
3,1774234376.850984,0.104306,[]
4,1774234376.961945,0.110961,[]
5,1774234377.070564,0.108619,[]
6,1774234377.176644,0.106080,[]
7,1774234377.301763,0.125119,["Key.right"]
8,1774234377.415298,0.113534,[]
9,1774234377.536859,0.121562,[]
10,1774234377.648922,0.112063,["Key.right"]
11,1774234377.762130,0.113208,["Key.right"]
12,1774234377.874054,0.111924,[]
13,1774234377.975550,0.101496,[]
14,1774234378.087695,0.112144,["Key.right"]
15,1774234378.194970,0.107275,["Key.right"]
16,1774234378.313335,0.118365,[]
17,1774234378.434244,0.120909,[]
18,1774234378.546550,0.112305,["Key.right"]
19,1774234378.649005,0.102455,["Key.right"]
20,1774234378.756088,0.107083,[]
21,1774234378.850643,0.094556,[]
22,1774234378.961780,0.111137,["Key.right"]
23,1774234379.073428,0.111647,["Key.right"]
24,1774234379.176202,0.102774,[]
25,1774234379.293930,0.117728,[]
26,1774234379.412634,0.118704,["Key.right"]
27,1774234379.525225,0.112591,["Key.right"]
28,1774234379.628751,0.103526,[]
29,1774234379.744433,0.115682,[]
30,1774234379.865302,0.120869,["Key.space"]
31,1774234379.978987,0.113685,[]
32,1774234380.089869,0.110882,[]
33,1774234380.195230,0.105361,["Key.right"]
34,1774234380.301236,0.106006,["Key.right"]
35,1774234380.405090,0.103854,[]
36,1774234380.498104,0.093014,[]
37,1774234380.600171,0.102067,["Key.right"]
38,1774234380.713692,0.113521,["Key.right"]
39,1774234380.825285,0.111593,[]
40,1774234380.926465,0.101181,[]
41,1774234381.045024,0.118559,["Key.right"]
42,1774234381.162288,0.117264,["Key.right"]
43,1774234381.282885,0.120597,[]
44,1774234381.403566,0.120681,[]
45,1774234381.517417,0.113852,["Key.right"]
46,1774234381.629345,0.111928,["Key.right"]
47,1774234381.751140,0.121795,[]
48,1774234381.858308,0.107168,[]
49,1774234381.969206,0.110898,["Key.right"]
50,1774234382.082871,0.113665,["Key.right"]
51,1774234382.199991,0.117120,[]
52,1774234382.309602,0.109611,[]
53,1774234382.434721,0.125118,["Key.right"]
54,1774234382.558349,0.123628,[]
55,1774234382.667519,0.109170,[]
56,1774234382.800906,0.133387,["Key.right"]
57,1774234382.913159,0.112253,[]
58,1774234383.028521,0.115362,[]
59,1774234383.157928,0.129408,["Key.left"]
60,1774234383.271994,0.114065,[]
61,1774234383.389056,0.117062,[]
62,1774234383.510761,0.121705,["Key.right"]
63,1774234383.633373,0.122612,[]
64,1774234383.753303,0.119930,[]
65,1774234383.872116,0.118814,["Key.right"]
66,1774234383.980567,0.108450,["Key.right"]
67,1774234384.113588,0.133021,[]
68,1774234384.236710,0.123122,[]
