frame_idx,t,dt,keys_down
159,1774005053.875818,0.190551,[]
160,1774005054.081583,0.205765,["Key.left"]
161,1774005054.293184,0.211601,[]
162,1774005054.497703,0.204519,["Key.right"]
163,1774005054.674735,0.177032,[]
164,1774005054.877016,0.202281,[]
165,1774005055.073422,0.196406,["Key.space"]
166,1774005055.286462,0.213040,[]
167,1774005055.503124,0.216662,["Key.left"]
168,1774005055.692984,0.189860,[]
169,1774005055.889359,0.196375,["Key.left"]
170,1774005056.094471,0.205111,[]
171,1774005056.287206,0.192736,["Key.space"]
172,1774005056.505611,0.218404,[]
173,1774005056.698588,0.192977,["Key.right"]
174,1774005056.923287,0.224699,[]
175,1774005057.140767,0.217480,["Key.right"]
176,1774005057.363599,0.222832,[]
177,1774005057.572364,0.208766,["Key.right"]
178,1774005057.759565,0.187201,[]
179,1774005057.955612,0.196047,["Key.right"]
180,1774005058.152144,0.196532,[]
181,1774005058.370548,0.218404,["Key.right"]
182,1774005058.564070,0.193522,[]
183,1774005058.757045,0.192975,["Key.left"]
184,1774005058.954576,0.197531,[]
185,1774005059.178903,0.224328,["Key.left"]
186,1774005059.381202,0.202299,[]
187,1774005059.573253,0.192051,["Key.right"]
188,1774005059.772655,0.199402,[]
189,1774005059.967711,0.195056,["Key.left"]
190,1774005060.165185,0.197474,[]
191,1774005060.382397,0.217212,["Key.right"]
192,1774005060.574304,0.191907,[]
193,1774005060.758220,0.183916,["Key.right"]
194,1774005060.942713,0.184493,[]
195,1774005061.154280,0.211567,["Key.space"]
196,1774005061.366296,0.212016,[]
197,1774005061.561566,0.195270,["Key.right"]
198,1774005061.758600,0.197033,[]
199,1774005061.954616,0.196017,["Key.left"]
200,1774005062.146152,0.191535,[]
201,1774005062.350408,0.204256,["Key.left"]
202,1774005062.560179,0.209771,[]
203,1774005062.744059,0.183881,["Key.left"]
204,1774005062.960641,0.216582,[]
205,1774005063.156971,0.196330,["Key.right"]
206,1774005063.350152,0.193181,[]
207,1774005063.559070,0.208918,["Key.right"]
208,1774005063.745614,0.186544,[]
209,1774005063.939599,0.193985,["Key.left"]
210,1774005064.128923,0.189324,[]
211,1774005064.316407,0.187484,["Key.right"]
212,1774005064.510499,0.194092,[]
213,1774005064.694765,0.184266,["Key.space"]
214,1774005064.899850,0.205085,[]
215,1774005065.094347,0.194498,["Key.space"]
216,1774005065.276912,0.182565,[]
217,1774005065.473596,0.196683,["Key.right"]
218,1774005065.658475,0.184879,[]
219,1774005065.856440,0.197965,["Key.left"]
220,1774005066.060161,0.203721,[]
221,1774005066.254247,0.194086,["Key.space"]
222,1774005066.450041,0.195793,[]
223,1774005066.642401,0.192360,["Key.space"]
224,1774005066.840246,0.197845,[]
225,1774005067.027490,0.187245,["Key.space"]
226,1774005067.216427,0.188936,[]
227,1774005067.437789,0.221363,["Key.right"]
228,1774005067.639122,0.201333,[]
229,1774005067.849568,0.210445,["Key.left"]
230,1774005068.056332,0.206764,[]
231,1774005068.269477,0.213145,["Key.right"]
232,1774005068.463660,0.194184,[]
233,1774005068.648756,0.185096,["Key.left"]
234,1774005068.852936,0.204180,[]
235,1774005069.044267,0.191331,["Key.left"]
236,1774005069.240664,0.196397,[]
237,1774005069.429266,0.188602,["Key.right"]
238,1774005069.626286,0.197020,[]
239,1774005069.827918,0.201632,["Key.left"]
240,1774005070.027010,0.199092,[]
241,1774005070.212010,0.185000,["Key.right"]
242,1774005070.406116,0.194106,[]
243,1774005070.605879,0.199764,["Key.right"]
244,1774005070.806691,0.200812,[]
245,1774005071.006416,0.199725,["Key.right"]
246,1774005071.197326,0.190910,[]
247,1774005071.394836,0.197510,["Key.space"]
248,1774005071.580121,0.185285,[]
249,1774005071.774130,0.194009,["Key.space"]
250,1774005071.972930,0.198800,[]
251,1774005072.161770,0.188840,["Key.left"]
252,1774005072.363473,0.201704,[]
253,1774005072.552111,0.188638,["Key.right"]
254,1774005072.750203,0.198091,[]
