frame_idx,t,dt,keys_down
0,1774234423.915253,0.000497,[]
1,1774234423.973618,0.058365,[]
2,1774234424.070133,0.096515,[]
3,1774234424.175810,0.105677,[]
4,1774234424.292906,0.117095,[]
5,1774234424.411327,0.118421,[]
6,1774234424.525861,0.114534,[]
7,1774234424.643342,0.117481,["Key.right"]
8,1774234424.762753,0.119411,["Key.right"]
9,1774234424.878211,0.115458,[]
10,1774234424.995918,0.117706,[]
11,1774234425.107867,0.111949,["Key.right"]
12,1774234425.210180,0.102313,["Key.right"]
13,1774234425.325022,0.114842,[]
14,1774234425.421426,0.096404,[]
15,1774234425.523333,0.101907,["Key.right"]
16,1774234425.623912,0.100579,["Key.right"]
17,1774234425.728075,0.104163,[]
18,1774234425.846360,0.118285,[]
19,1774234425.964095,0.117735,["Key.right"]
20,1774234426.075485,0.111390,["Key.right"]
21,1774234426.172687,0.097202,[]
22,1774234426.270484,0.097798,[]
23,1774234426.381965,0.111481,["Key.right"]
24,1774234426.500433,0.118468,["Key.right"]
25,1774234426.617193,0.116760,[]
26,1774234426.729273,0.112079,[]
27,1774234426.845944,0.116672,["Key.right"]
28,1774234426.963669,0.117725,["Key.right"]
29,1774234427.083501,0.119831,[]
30,1774234427.194140,0.110639,[]
31,1774234427.321387,0.127247,["Key.right"]
32,1774234427.426362,0.104975,[]
33,1774234427.540027,0.113665,[]
34,1774234427.639844,0.099817,["Key.space"]
35,1774234427.744141,0.104298,["Key.space"]
36,1774234427.857942,0.113801,[]
37,1774234427.960165,0.102222,[]
38,1774234428.079827,0.119663,["Key.right"]
39,1774234428.197993,0.118166,["Key.right"]
40,1774234428.318840,0.120847,[]
41,1774234428.427207,0.108367,[]
42,1774234428.545678,0.118471,["Key.right"]
43,1774234428.663378,0.117701,["Key.right"]
44,1774234428.788390,0.125011,[]
45,1774234428.905905,0.117515,[]
46,1774234429.022600,0.116695,["Key.right"]
47,1774234429.138367,0.115767,["Key.right"]
48,1774234429.265669,0.127302,[]
49,1774234429.395750,0.130081,[]
50,1774234429.525391,0.129641,["Key.right"]
51,1774234429.641541,0.116150,[]
52,1774234429.754363,0.112822,[]
53,1774234429.870256,0.115894,["Key.right"]
54,1774234429.983494,0.113237,["Key.right"]
55,1774234430.098043,0.114550,[]
56,1774234430.217393,0.119350,[]
57,1774234430.331257,0.113864,["Key.right"]
58,1774234430.443996,0.112739,["Key.right"]
59,1774234430.570652,0.126657,[]
60,1774234430.688564,0.117911,[]
61,1774234430.811013,0.122449,["Key.space"]
62,1774234430.936129,0.125115,[]
63,1774234431.051313,0.115184,[]
64,1774234431.171227,0.119914,["Key.right"]
65,1774234431.286027,0.114800,["Key.right"]
66,1774234431.398986,0.112959,[]
67,1774234431.519422,0.120436,[]
68,1774234431.633289,0.113867,["Key.right"]
69,1774234431.742088,0.108799,["Key.right"]
70,1774234431.854909,0.112821,[]
71,1774234431.964379,0.109470,[]
72,1774234432.079914,0.115535,["Key.right"]
73,1774234432.195937,0.116023,["Key.right"]
74,1774234432.319288,0.123352,[]
75,1774234432.434732,0.115444,[]
76,1774234432.554751,0.120019,["Key.right"]
77,1774234432.669526,0.114775,[]
78,1774234432.780121,0.110595,[]
79,1774234432.895355,0.115235,["Key.right"]
80,1774234433.016589,0.121234,["Key.right"]
81,1774234433.127003,0.110414,[]
82,1774234433.239430,0.112427,[]
83,1774234433.338626,0.099196,["Key.right"]
84,1774234433.444551,0.105924,["Key.right"]
85,1774234433.567257,0.122707,[]
86,1774234433.673571,0.106313,[]
87,1774234433.777317,0.103746,["Key.space"]
88,1774234433.901419,0.124102,["Key.space"]
89,1774234434.026138,0.124720,[]
90,1774234434.147959,0.121820,[]
91,1774234434.268050,0.120091,["Key.right"]
92,1774234434.376603,0.108553,[]
93,1774234434.492872,0.116269,[]
94,1774234434.624503,0.131632,["Key.right"]
95,1774234434.738646,0.114142,[]
96,1774234434.856482,0.117836,[]
97,1774234434.969413,0.112931,["Key.right"]
98,1774234435.073433,0.104020,["Key.right"]
99,1774234435.179844,0.106411,[]
100,1774234435.294539,0.114695,[]
101,1774234435.418506,0.123967,["Key.space"]
102,1774234435.536774,0.118268,[]
103,1774234435.650796,0.114022,[]
104,1774234435.761060,0.110264,["Key.right"]
105,1774234435.889115,0.128056,["Key.right"]
106,1774234436.003010,0.113895,[]
107,1774234436.111115,0.108105,[]
108,1774234436.241027,0.129912,["Key.left"]
109,1774234436.355710,0.114683,[]
110,1774234436.470989,0.115279,[]
111,1774234436.585586,0.114597,["Key.right"]
112,1774234436.702782,0.117197,["Key.right"]
113,1774234436.805887,0.103105,[]
114,1774234436.906209,0.100322,[]
115,1774234437.011681,0.105471,["Key.left"]
116,1774234437.128681,0.117000,["Key.left"]
117,1774234437.242419,0.113739,[]
118,1774234437.369586,0.127167,[]
119,1774234437.481001,0.111414,["Key.right"]
120,1774234437.602315,0.121315,["Key.right"]
121,1774234437.720081,0.117766,[]
122,1774234437.832245,0.112164,[]
123,1774234437.952627,0.120383,["Key.right"]
124,1774234438.074546,0.121919,[]
125,1774234438.191796,0.117250,[]
126,1774234438.298837,0.107041,["Key.left"]
127,1774234438.417670,0.118833,["Key.left"]
128,1774234438.530504,0.112834,[]
129,1774234438.636055,0.105552,[]
130,1774234438.741136,0.105080,["Key.right"]
131,1774234438.850221,0.109085,["Key.right"]
132,1774234438.977901,0.127679,[]
133,1774234439.098815,0.120914,[]
134,1774234439.210053,0.111238,["Key.right"]
135,1774234439.336924,0.126871,["Key.right"]
136,1774234439.453632,0.116707,[]
137,1774234439.566389,0.112758,[]
138,1774234439.683761,0.117372,["Key.right"]
139,1774234439.785956,0.102194,["Key.right"]
140,1774234439.880911,0.094955,[]
141,1774234439.985055,0.104144,[]
142,1774234440.098440,0.113385,["Key.right"]
143,1774234440.213471,0.115031,["Key.right"]
144,1774234440.337316,0.123845,[]
145,1774234440.454641,0.117326,[]
146,1774234440.566691,0.112050,["Key.right"]
147,1774234440.681498,0.114806,["Key.right"]
148,1774234440.797282,0.115784,[]
149,1774234440.915732,0.118450,[]
150,1774234441.034671,0.118940,["Key.right"]
151,1774234441.150254,0.115583,["Key.right"]
152,1774234441.272725,0.122471,[]
153,1774234441.383457,0.110731,[]
154,1774234441.500679,0.117222,["Key.right"]
155,1774234441.612769,0.112090,["Key.right"]
156,1774234441.730477,0.117708,[]
157,1774234441.846274,0.115797,[]
158,1774234441.970260,0.123986,["Key.right"]
159,1774234442.090075,0.119815,[]
160,1774234442.197136,0.107061,[]
161,1774234442.323181,0.126046,["Key.space"]
162,1774234442.441814,0.118633,[]
163,1774234442.539834,0.098020,[]
164,1774234442.649521,0.109687,["Key.right"]
165,1774234442.761595,0.112074,["Key.right"]
166,1774234442.887504,0.125909,[]
167,1774234443.003961,0.116457,[]
168,1774234443.121887,0.117926,["Key.right"]
169,1774234443.223141,0.101254,["Key.right"]
170,1774234443.332348,0.109207,[]
171,1774234443.449595,0.117247,[]
172,1774234443.567962,0.118367,["Key.right"]
173,1774234443.682503,0.114540,["Key.right"]
174,1774234443.796741,0.114238,[]
175,1774234443.925568,0.128827,[]
176,1774234444.046781,0.121213,["Key.right"]
