frame_idx,t,dt,keys_down
0,1774004810.034981,0.123333,[]
1,1774004810.147383,0.112401,[]
2,1774004810.263882,0.116499,[]
3,1774004810.378917,0.115035,[]
4,1774004810.495238,0.116321,[]
5,1774004810.626452,0.131214,["Key.left"]
6,1774004810.752097,0.125645,[]
7,1774004810.880891,0.128793,[]
8,1774004811.003254,0.122363,["Key.left"]
9,1774004811.119693,0.116438,[]
10,1774004811.240209,0.120517,[]
11,1774004811.359926,0.119717,["Key.left"]
12,1774004811.476676,0.116750,["Key.left"]
13,1774004811.598075,0.121398,[]
14,1774004811.737665,0.139590,[]
15,1774004811.869111,0.131446,["Key.left"]
16,1774004812.007991,0.138880,[]
17,1774004812.143341,0.135350,[]
18,1774004812.258478,0.115137,["Key.left"]
19,1774004812.379807,0.121329,["Key.left"]
20,1774004812.507294,0.127487,[]
21,1774004812.630164,0.122870,[]
22,1774004812.753861,0.123697,["Key.right"]
23,1774004812.894078,0.140217,[]
24,1774004813.018212,0.124134,[]
25,1774004813.150326,0.132115,["Key.left"]
26,1774004813.290718,0.140391,[]
27,1774004813.412126,0.121408,[]
28,1774004813.527107,0.114981,["Key.space"]
29,1774004813.642134,0.115027,["Key.space"]
30,1774004813.760712,0.118578,[]
31,1774004813.876421,0.115710,[]
32,1774004813.991482,0.115060,["Key.left"]
33,1774004814.108237,0.116755,["Key.left"]
34,1774004814.239565,0.131329,[]
35,1774004814.369113,0.129548,[]
36,1774004814.504074,0.134961,["Key.left"]
37,1774004814.647438,0.143363,[]
38,1774004814.787002,0.139564,[]
39,1774004814.923508,0.136506,["Key.left"]
40,1774004815.063266,0.139758,[]
41,1774004815.186250,0.122984,[]
42,1774004815.327124,0.140874,["Key.left"]
43,1774004815.457547,0.130423,[]
44,1774004815.588942,0.131395,[]
45,1774004815.715370,0.126428,["Key.left"]
46,1774004815.853913,0.138543,[]
47,1774004815.981140,0.127227,[]
48,1774004816.120857,0.139717,["Key.right"]
49,1774004816.261563,0.140706,[]
50,1774004816.386932,0.125370,[]
51,1774004816.533949,0.147016,["Key.left"]
52,1774004816.681117,0.147168,[]
53,1774004816.821113,0.139997,[]
54,1774004816.964523,0.143410,["Key.left"]
55,1774004817.114998,0.150475,[]
56,1774004817.260549,0.145551,[]
57,1774004817.395559,0.135010,["Key.left"]
58,1774004817.520731,0.125171,[]
59,1774004817.663753,0.143022,[]
60,1774004817.788983,0.125230,["Key.left"]
61,1774004817.930217,0.141234,[]
62,1774004818.043012,0.112795,[]
63,1774004818.175239,0.132227,["Key.left"]
64,1774004818.326733,0.151494,[]
65,1774004818.485919,0.159186,[]
66,1774004818.647574,0.161655,["Key.left"]
67,1774004818.793594,0.146020,[]
68,1774004818.944597,0.151003,[]
69,1774004819.097823,0.153225,["Key.left"]
70,1774004819.269924,0.172101,[]
71,1774004819.426321,0.156397,[]
72,1774004819.587960,0.161639,["Key.space"]
73,1774004819.750783,0.162824,[]
74,1774004819.906265,0.155482,[]
75,1774004820.068012,0.161747,["Key.left"]
76,1774004820.225788,0.157775,[]
77,1774004820.374995,0.149207,[]
78,1774004820.532250,0.157254,["Key.left"]
79,1774004820.697757,0.165508,[]
80,1774004820.855725,0.157968,[]
81,1774004821.010710,0.154986,["Key.left"]
82,1774004821.171207,0.160497,[]
83,1774004821.325866,0.154659,[]
84,1774004821.483805,0.157939,["Key.left"]
85,1774004821.648947,0.165142,[]
86,1774004821.813573,0.164626,[]
87,1774004821.964055,0.150483,["Key.left"]
88,1774004822.117951,0.153896,[]
89,1774004822.297290,0.179339,[]
90,1774004822.465490,0.168200,["Key.left"]
91,1774004822.628826,0.163336,[]
92,1774004822.782756,0.153929,[]
93,1774004822.945236,0.162480,["Key.left"]
94,1774004823.096488,0.151252,[]
95,1774004823.251312,0.154824,[]
96,1774004823.423820,0.172509,["Key.space"]
97,1774004823.574057,0.150236,[]
98,1774004823.728385,0.154329,[]
99,1774004823.885059,0.156673,["Key.left"]
100,1774004824.069870,0.184811,[]
101,1774004824.241618,0.171748,["Key.left"]
102,1774004824.404715,0.163097,[]
103,1774004824.554815,0.150100,[]
104,1774004824.715794,0.160979,["Key.left"]
105,1774004824.880253,0.164459,[]
106,1774004825.026717,0.146464,[]
107,1774004825.177598,0.150880,["Key.left"]
108,1774004825.327685,0.150088,[]
109,1774004825.479958,0.152272,[]
110,1774004825.625034,0.145077,["Key.left"]
111,1774004825.788072,0.163038,[]
112,1774004825.954395,0.166323,[]
113,1774004826.136790,0.182394,["Key.left"]
114,1774004826.306180,0.169390,[]
115,1774004826.456964,0.150784,[]
116,1774004826.615002,0.158039,["Key.left"]
117,1774004826.788452,0.173450,[]
118,1774004826.946939,0.158488,[]
119,1774004827.092992,0.146053,["Key.left"]
120,1774004827.248053,0.155061,[]
121,1774004827.415754,0.167701,[]
122,1774004827.595056,0.179302,["Key.left"]
123,1774004827.759111,0.164055,[]
124,1774004827.918736,0.159626,[]
125,1774004828.079211,0.160474,["Key.left"]
126,1774004828.233174,0.153963,[]
127,1774004828.406382,0.173208,[]
128,1774004828.561630,0.155248,["Key.left"]
129,1774004828.728766,0.167136,[]
130,1774004828.886823,0.158057,[]
131,1774004829.055013,0.168190,["Key.left"]
132,1774004829.209743,0.154729,[]
133,1774004829.360916,0.151174,[]
134,1774004829.520207,0.159291,["Key.left"]
135,1774004829.683226,0.163019,[]
136,1774004829.845295,0.162070,[]
137,1774004830.003190,0.157895,["Key.left"]
138,1774004830.176189,0.172999,[]
139,1774004830.329777,0.153588,[]
140,1774004830.488920,0.159143,["Key.left"]
141,1774004830.661951,0.173031,[]
142,1774004830.815195,0.153244,[]
143,1774004830.998358,0.183163,["Key.left"]
144,1774004831.168344,0.169986,[]
145,1774004831.336967,0.168624,[]
146,1774004831.506872,0.169905,["Key.left"]
147,1774004831.671762,0.164890,[]
148,1774004831.834533,0.162771,[]
149,1774004832.008232,0.173699,["Key.left"]
150,1774004832.164105,0.155873,[]
151,1774004832.334328,0.170223,[]
152,1774004832.517937,0.183609,["Key.left"]
153,1774004832.674527,0.156590,[]
154,1774004832.836680,0.162153,[]
155,1774004832.999156,0.162476,["Key.left"]
156,1774004833.157156,0.158000,[]
157,1774004833.321088,0.163932,[]
158,1774004833.489239,0.168150,["Key.left"]
159,1774004833.650645,0.161407,[]
160,1774004833.806166,0.155521,[]
161,1774004833.972338,0.166172,["Key.right"]
162,1774004834.139165,0.166827,[]
163,1774004834.296600,0.157436,[]
164,1774004834.448295,0.151695,["Key.left"]
165,1774004834.621987,0.173692,[]
166,1774004834.788847,0.166861,[]
167,1774004834.949152,0.160305,["Key.left"]
168,1774004835.121651,0.172499,[]
169,1774004835.282662,0.161011,[]
170,1774004835.453107,0.170444,["Key.left"]
171,1774004835.644158,0.191052,[]
172,1774004835.806081,0.161923,["Key.left"]
173,1774004835.979657,0.173576,[]
174,1774004836.142836,0.163179,[]
175,1774004836.321251,0.178416,["Key.left"]
176,1774004836.482179,0.160928,[]
177,1774004836.646250,0.164070,[]
178,1774004836.802611,0.156361,["Key.left"]
179,1774004836.958510,0.155899,[]
180,1774004837.109699,0.151188,[]
181,1774004837.271361,0.161662,["Key.left"]
182,1774004837.439550,0.168189,[]
183,1774004837.607821,0.168271,[]
184,1774004837.778006,0.170185,["Key.left"]
185,1774004837.940442,0.162436,[]
186,1774004838.107413,0.166971,[]
187,1774004838.274461,0.167048,["Key.right"]
188,1774004838.442565,0.168105,[]
189,1774004838.604758,0.162192,[]
190,1774004838.762898,0.158141,["Key.right"]
191,1774004838.924712,0.161813,[]
192,1774004839.103354,0.178642,[]
193,1774004839.263583,0.160229,["Key.left"]
194,1774004839.418558,0.154975,[]
195,1774004839.577956,0.159399,[]
196,1774004839.740511,0.162554,["Key.left"]
197,1774004839.897496,0.156986,[]
198,1774004840.072133,0.174637,[]
199,1774004840.250803,0.178670,["Key.left"]
200,1774004840.419558,0.168755,[]
201,1774004840.602231,0.182673,[]
202,1774004840.779740,0.177510,["Key.left"]
203,1774004840.945060,0.165319,[]
204,1774004841.113209,0.168149,[]
205,1774004841.275158,0.161950,["Key.left"]
206,1774004841.449690,0.174532,[]
207,1774004841.610976,0.161286,[]
208,1774004841.773492,0.162516,["Key.left"]
209,1774004841.931473,0.157980,[]
210,1774004842.103405,0.171932,[]
211,1774004842.266058,0.162653,["Key.left"]
212,1774004842.437051,0.170993,[]
213,1774004842.608106,0.171055,[]
214,1774004842.780197,0.172091,["Key.left"]
215,1774004842.936001,0.155804,[]
216,1774004843.105429,0.169428,[]
217,1774004843.278228,0.172799,["Key.left"]
218,1774004843.440559,0.162332,[]
219,1774004843.597704,0.157144,[]
220,1774004843.756762,0.159058,["Key.left"]
221,1774004843.924375,0.167613,[]
222,1774004844.100900,0.176525,[]
223,1774004844.273562,0.172662,["Key.left"]
224,1774004844.433425,0.159863,[]
225,1774004844.602331,0.168906,[]
226,1774004844.772293,0.169962,["Key.space"]
227,1774004844.951286,0.178994,[]
228,1774004845.113631,0.162344,[]
229,1774004845.272541,0.158911,["Key.right"]
230,1774004845.444462,0.171920,[]
231,1774004845.598394,0.153933,[]
232,1774004845.772941,0.174547,["Key.left"]
233,1774004845.941490,0.168549,[]
234,1774004846.098274,0.156783,[]
235,1774004846.273592,0.175318,["Key.left"]
236,1774004846.443772,0.170180,[]
237,1774004846.620185,0.176413,[]
238,1774004846.789488,0.169303,["Key.right"]
239,1774004846.951397,0.161909,[]
240,1774004847.122427,0.171029,[]
