frame_idx,t,dt,keys_down
0,1774005625.070616,0.000427,[]
1,1774005625.136407,0.065791,[]
2,1774005625.254239,0.117831,[]
3,1774005625.382787,0.128549,[]
4,1774005625.498246,0.115458,[]
5,1774005625.616752,0.118507,[]
6,1774005625.761704,0.144952,["Key.right"]
7,1774005625.945843,0.184139,[]
8,1774005626.117995,0.172152,["Key.left"]
9,1774005626.291175,0.173181,[]
10,1774005626.457490,0.166315,[]
11,1774005626.611427,0.153936,["Key.right"]
12,1774005626.757338,0.145911,[]
13,1774005626.908633,0.151295,[]
14,1774005627.061489,0.152856,["Key.space"]
15,1774005627.216218,0.154729,[]
16,1774005627.366064,0.149846,[]
17,1774005627.516295,0.150231,["Key.right"]
18,1774005627.670256,0.153961,[]
19,1774005627.832513,0.162256,[]
20,1774005627.979420,0.146907,["Key.left"]
21,1774005628.116207,0.136788,[]
22,1774005628.244690,0.128482,[]
23,1774005628.380059,0.135369,["Key.left"]
24,1774005628.526119,0.146061,[]
25,1774005628.691152,0.165032,[]
26,1774005628.850931,0.159780,["Key.right"]
27,1774005629.027405,0.176474,[]
28,1774005629.193056,0.165652,[]
29,1774005629.354278,0.161222,["Key.right"]
30,1774005629.526768,0.172490,[]
31,1774005629.682554,0.155786,[]
32,1774005629.839797,0.157243,["Key.left"]
33,1774005630.000669,0.160872,[]
34,1774005630.170031,0.169362,[]
35,1774005630.349729,0.179698,["Key.space"]
36,1774005630.529881,0.180152,[]
37,1774005630.684993,0.155112,["Key.space"]
38,1774005630.882274,0.197282,[]
39,1774005631.035931,0.153656,["Key.right"]
40,1774005631.217314,0.181383,[]
41,1774005631.400761,0.183447,["Key.left"]
42,1774005631.586437,0.185676,[]
43,1774005631.764226,0.177789,["Key.right"]
44,1774005631.939356,0.175130,[]
45,1774005632.121101,0.181746,[]
46,1774005632.300190,0.179088,["Key.space"]
47,1774005632.478858,0.178668,[]
48,1774005632.647994,0.169136,[]
49,1774005632.813009,0.165015,["Key.space"]
50,1774005632.989969,0.176959,[]
51,1774005633.178597,0.188629,[]
52,1774005633.350090,0.171492,["Key.left"]
53,1774005633.537545,0.187456,[]
54,1774005633.729599,0.192054,["Key.right"]
55,1774005633.905631,0.176032,[]
56,1774005634.083609,0.177979,[]
57,1774005634.265182,0.181572,["Key.right"]
58,1774005634.440581,0.175400,[]
59,1774005634.622507,0.181926,[]
60,1774005634.800425,0.177918,["Key.space"]
61,1774005635.004933,0.204508,[]
62,1774005635.198103,0.193170,["Key.space"]
63,1774005635.366688,0.168586,[]
64,1774005635.546306,0.179618,[]
65,1774005635.713513,0.167207,["Key.left"]
66,1774005635.889802,0.176289,[]
67,1774005636.064782,0.174979,[]
68,1774005636.229308,0.164526,["Key.right"]
69,1774005636.403466,0.174158,[]
70,1774005636.594496,0.191029,[]
71,1774005636.763539,0.169044,["Key.right"]
72,1774005636.942992,0.179452,[]
73,1774005637.124261,0.181269,[]
74,1774005637.298744,0.174484,["Key.right"]
75,1774005637.460208,0.161464,[]
76,1774005637.637295,0.177086,[]
77,1774005637.807585,0.170291,["Key.left"]
78,1774005637.971916,0.164331,[]
79,1774005638.133610,0.161694,[]
80,1774005638.309680,0.176070,["Key.space"]
81,1774005638.478141,0.168460,[]
82,1774005638.642847,0.164706,[]
83,1774005638.830272,0.187425,["Key.space"]
84,1774005639.001471,0.171199,[]
85,1774005639.162283,0.160812,[]
86,1774005639.329949,0.167666,["Key.right"]
87,1774005639.490346,0.160397,[]
88,1774005639.660655,0.170309,[]
89,1774005639.827939,0.167284,["Key.right"]
90,1774005639.981898,0.153959,[]
91,1774005640.137494,0.155596,[]
92,1774005640.306957,0.169462,["Key.space"]
93,1774005640.475454,0.168497,[]
94,1774005640.631348,0.155894,[]
95,1774005640.783747,0.152400,["Key.left"]
96,1774005640.957375,0.173627,[]
97,1774005641.117517,0.160142,[]
98,1774005641.287163,0.169647,["Key.space"]
99,1774005641.450761,0.163598,[]
100,1774005641.619686,0.168925,[]
101,1774005641.796307,0.176621,["Key.left"]
102,1774005641.952063,0.155756,[]
103,1774005642.121959,0.169896,[]
104,1774005642.285930,0.163971,["Key.space"]
105,1774005642.457922,0.171992,[]
106,1774005642.622382,0.164460,[]
107,1774005642.794791,0.172409,["Key.right"]
108,1774005642.960069,0.165278,[]
109,1774005643.116408,0.156339,[]
110,1774005643.264540,0.148131,["Key.space"]
111,1774005643.427808,0.163268,[]
112,1774005643.583585,0.155777,[]
113,1774005643.754817,0.171233,["Key.right"]
114,1774005643.917963,0.163146,[]
115,1774005644.078953,0.160990,[]
116,1774005644.242342,0.163389,["Key.left"]
117,1774005644.407242,0.164899,[]
118,1774005644.573317,0.166076,[]
119,1774005644.742269,0.168951,["Key.right"]
120,1774005644.904545,0.162276,[]
121,1774005645.071936,0.167391,[]
122,1774005645.239529,0.167593,["Key.right"]
123,1774005645.405698,0.166169,[]
124,1774005645.575704,0.170007,[]
125,1774005645.741470,0.165766,["Key.left"]
126,1774005645.908065,0.166595,[]
127,1774005646.072098,0.164034,[]
128,1774005646.246681,0.174582,["Key.left"]
129,1774005646.399915,0.153234,[]
130,1774005646.573150,0.173235,[]
