frame_idx,t,dt,keys_down
0,1774005583.663342,0.001443,[]
1,1774005583.736526,0.073185,[]
2,1774005583.863561,0.127035,[]
3,1774005583.969581,0.106020,[]
4,1774005584.102050,0.132469,[]
5,1774005584.238698,0.136648,[]
6,1774005584.384149,0.145450,["Key.left"]
7,1774005584.589737,0.205588,[]
8,1774005584.747901,0.158164,["Key.right"]
9,1774005584.894276,0.146375,[]
10,1774005585.040370,0.146093,[]
11,1774005585.191660,0.151290,["Key.space"]
12,1774005585.353649,0.161989,[]
13,1774005585.510270,0.156621,[]
14,1774005585.675258,0.164988,["Key.right"]
15,1774005585.831194,0.155936,[]
16,1774005585.980507,0.149313,[]
17,1774005586.128471,0.147964,["Key.left"]
18,1774005586.275056,0.146585,[]
19,1774005586.420432,0.145376,[]
20,1774005586.582841,0.162409,["Key.right"]
21,1774005586.755568,0.172727,[]
22,1774005586.897322,0.141754,[]
23,1774005587.033025,0.135703,["Key.left"]
24,1774005587.206920,0.173894,[]
25,1774005587.380038,0.173119,[]
26,1774005587.549425,0.169387,["Key.space"]
27,1774005587.701406,0.151980,[]
28,1774005587.876316,0.174911,[]
29,1774005588.068116,0.191799,["Key.left"]
30,1774005588.243921,0.175805,[]
31,1774005588.407003,0.163082,[]
32,1774005588.586768,0.179765,["Key.space"]
33,1774005588.761885,0.175117,[]
34,1774005588.935966,0.174081,[]
35,1774005589.144746,0.208780,["Key.right"]
36,1774005589.315845,0.171099,[]
37,1774005589.483108,0.167263,[]
38,1774005589.679126,0.196018,["Key.left"]
39,1774005589.848788,0.169662,[]
40,1774005590.024245,0.175457,[]
41,1774005590.208622,0.184376,["Key.space"]
42,1774005590.384458,0.175836,[]
43,1774005590.560609,0.176152,[]
44,1774005590.740070,0.179461,["Key.right"]
45,1774005590.922028,0.181957,[]
46,1774005591.096649,0.174622,["Key.left"]
47,1774005591.263790,0.167141,[]
48,1774005591.452433,0.188643,[]
49,1774005591.656994,0.204561,["Key.space"]
50,1774005591.837883,0.180888,[]
51,1774005592.033077,0.195194,["Key.left"]
52,1774005592.219239,0.186162,[]
53,1774005592.405121,0.185882,["Key.left"]
54,1774005592.595100,0.189979,[]
55,1774005592.776691,0.181591,["Key.left"]
56,1774005592.954715,0.178023,[]
57,1774005593.153034,0.198319,[]
58,1774005593.346414,0.193380,["Key.space"]
59,1774005593.520613,0.174199,[]
60,1774005593.704469,0.183856,[]
61,1774005593.899356,0.194888,["Key.space"]
62,1774005594.074349,0.174992,[]
63,1774005594.250917,0.176569,[]
64,1774005594.449268,0.198350,["Key.right"]
65,1774005594.649457,0.200189,[]
66,1774005594.846134,0.196677,["Key.right"]
67,1774005595.037048,0.190914,[]
68,1774005595.225738,0.188690,["Key.space"]
69,1774005595.413708,0.187970,[]
70,1774005595.581167,0.167459,["Key.right"]
71,1774005595.747328,0.166162,[]
72,1774005595.912199,0.164871,[]
73,1774005596.072658,0.160459,["Key.space"]
74,1774005596.229252,0.156594,[]
75,1774005596.389067,0.159815,[]
76,1774005596.552746,0.163679,["Key.left"]
77,1774005596.713931,0.161186,[]
78,1774005596.874269,0.160338,[]
79,1774005597.031430,0.157161,["Key.space"]
80,1774005597.191301,0.159870,[]
81,1774005597.356784,0.165483,[]
82,1774005597.520436,0.163651,["Key.left"]
83,1774005597.676889,0.156453,[]
84,1774005597.836109,0.159220,[]
85,1774005598.001022,0.164913,["Key.space"]
86,1774005598.169787,0.168766,[]
87,1774005598.335886,0.166099,[]
88,1774005598.516598,0.180712,["Key.space"]
89,1774005598.689703,0.173105,[]
90,1774005598.839729,0.150027,[]
91,1774005599.003225,0.163496,["Key.space"]
92,1774005599.163244,0.160018,[]
93,1774005599.310644,0.147400,[]
94,1774005599.469982,0.159338,["Key.left"]
95,1774005599.642559,0.172577,[]
96,1774005599.800432,0.157874,[]
97,1774005599.971241,0.170809,["Key.right"]
98,1774005600.144688,0.173447,[]
99,1774005600.290529,0.145841,[]
100,1774005600.461459,0.170930,["Key.right"]
101,1774005600.626974,0.165514,[]
102,1774005600.783335,0.156362,[]
103,1774005600.945910,0.162574,["Key.left"]
104,1774005601.106061,0.160152,[]
105,1774005601.267844,0.161783,[]
106,1774005601.434412,0.166568,["Key.right"]
107,1774005601.612756,0.178344,[]
108,1774005601.766520,0.153764,[]
109,1774005601.946912,0.180392,["Key.space"]
110,1774005602.099141,0.152229,[]
111,1774005602.248561,0.149421,[]
112,1774005602.401033,0.152472,["Key.left"]
113,1774005602.562158,0.161125,[]
114,1774005602.722667,0.160509,[]
115,1774005602.882766,0.160099,["Key.right"]
116,1774005603.056248,0.173481,[]
117,1774005603.221411,0.165163,[]
118,1774005603.392500,0.171089,["Key.left"]
119,1774005603.553056,0.160557,[]
120,1774005603.720169,0.167113,[]
121,1774005603.888763,0.168593,["Key.space"]
122,1774005604.061041,0.172279,[]
123,1774005604.212955,0.151914,[]
