frame_idx,t,dt,keys_down
158,1774234317.004515,0.118811,["Key.space"]
159,1774234317.106260,0.101745,["Key.space"]
160,1774234317.207314,0.101054,[]
161,1774234317.318543,0.111229,[]
162,1774234317.421196,0.102653,["Key.right"]
163,1774234317.523033,0.101838,["Key.right"]
164,1774234317.647198,0.124164,[]
165,1774234317.775180,0.127982,[]
166,1774234317.896479,0.121299,["Key.space"]
167,1774234318.012107,0.115628,[]
168,1774234318.142325,0.130219,[]
169,1774234318.273559,0.131234,["Key.space"]
170,1774234318.388170,0.114610,[]
171,1774234318.521820,0.133650,[]
172,1774234318.636108,0.114288,["Key.left"]
173,1774234318.753877,0.117769,["Key.left"]
174,1774234318.864278,0.110401,[]
175,1774234318.990106,0.125828,[]
176,1774234319.109566,0.119460,["Key.right"]
177,1774234319.244374,0.134807,["Key.right"]
