frame_idx,t,dt,keys_down
0,1774005538.847273,0.126961,[]
1,1774005538.924652,0.077379,[]
2,1774005539.041363,0.116711,[]
3,1774005539.170708,0.129345,[]
4,1774005539.296676,0.125968,[]
5,1774005539.449500,0.152824,["Key.left"]
6,1774005539.664643,0.215143,[]
7,1774005539.839241,0.174598,["Key.right"]
8,1774005540.031612,0.192370,[]
9,1774005540.213694,0.182082,["Key.space"]
10,1774005540.390033,0.176338,[]
11,1774005540.571578,0.181546,[]
12,1774005540.762776,0.191198,["Key.space"]
13,1774005540.943672,0.180897,[]
14,1774005541.123002,0.179329,["Key.right"]
15,1774005541.297747,0.174745,[]
16,1774005541.464492,0.166745,[]
17,1774005541.636297,0.171805,["Key.space"]
18,1774005541.835975,0.199678,[]
19,1774005542.011992,0.176017,["Key.left"]
20,1774005542.198096,0.186104,[]
21,1774005542.362681,0.164585,["Key.space"]
22,1774005542.543310,0.180629,[]
23,1774005542.720662,0.177352,["Key.space"]
24,1774005542.907309,0.186647,[]
25,1774005543.102391,0.195082,["Key.right"]
26,1774005543.295540,0.193150,[]
27,1774005543.470349,0.174809,["Key.left"]
28,1774005543.660138,0.189789,[]
29,1774005543.848244,0.188106,["Key.space"]
30,1774005544.044243,0.195999,[]
31,1774005544.244828,0.200586,["Key.right"]
32,1774005544.424932,0.180103,[]
33,1774005544.607499,0.182567,["Key.left"]
34,1774005544.789576,0.182078,[]
35,1774005544.993272,0.203696,["Key.right"]
36,1774005545.184524,0.191252,[]
37,1774005545.371884,0.187360,["Key.right"]
38,1774005545.556446,0.184562,[]
39,1774005545.750478,0.194032,["Key.right"]
40,1774005545.943707,0.193228,[]
41,1774005546.138952,0.195246,["Key.space"]
42,1774005546.336406,0.197454,[]
43,1774005546.533972,0.197567,["Key.right"]
44,1774005546.732572,0.198600,[]
45,1774005546.924577,0.192006,["Key.right"]
46,1774005547.108014,0.183437,[]
47,1774005547.291199,0.183185,["Key.left"]
48,1774005547.482180,0.190981,[]
49,1774005547.673114,0.190934,["Key.right"]
50,1774005547.862141,0.189027,[]
51,1774005548.056502,0.194361,["Key.left"]
52,1774005548.244400,0.187898,[]
53,1774005548.449121,0.204721,["Key.right"]
54,1774005548.653409,0.204288,[]
55,1774005548.849778,0.196369,["Key.right"]
56,1774005549.031220,0.181442,[]
57,1774005549.199553,0.168334,["Key.right"]
58,1774005549.388642,0.189088,[]
59,1774005549.564062,0.175421,["Key.right"]
60,1774005549.714295,0.150232,[]
61,1774005549.874744,0.160450,[]
62,1774005550.033361,0.158617,["Key.right"]
63,1774005550.200842,0.167480,[]
64,1774005550.365469,0.164628,[]
65,1774005550.514081,0.148611,["Key.space"]
66,1774005550.668055,0.153975,[]
67,1774005550.833261,0.165205,[]
68,1774005551.009860,0.176599,["Key.left"]
69,1774005551.177683,0.167824,[]
70,1774005551.324666,0.146982,[]
71,1774005551.489559,0.164894,["Key.right"]
72,1774005551.657356,0.167797,[]
73,1774005551.824908,0.167551,[]
74,1774005551.987750,0.162843,["Key.right"]
75,1774005552.155797,0.168047,[]
76,1774005552.311324,0.155527,[]
77,1774005552.488006,0.176682,["Key.right"]
78,1774005552.661373,0.173367,[]
79,1774005552.818447,0.157074,[]
80,1774005552.995374,0.176927,["Key.left"]
81,1774005553.149045,0.153672,[]
82,1774005553.291480,0.142434,[]
83,1774005553.446490,0.155010,["Key.right"]
84,1774005553.596250,0.149760,[]
85,1774005553.767270,0.171021,[]
86,1774005553.941658,0.174387,["Key.right"]
87,1774005554.109640,0.167982,[]
88,1774005554.268794,0.159155,[]
89,1774005554.437037,0.168242,["Key.left"]
90,1774005554.599188,0.162152,[]
91,1774005554.755413,0.156224,[]
92,1774005554.921585,0.166173,["Key.right"]
93,1774005555.104179,0.182594,[]
94,1774005555.277136,0.172957,["Key.left"]
95,1774005555.453022,0.175886,[]
96,1774005555.616672,0.163650,[]
97,1774005555.789982,0.173310,["Key.space"]
98,1774005555.950889,0.160908,[]
99,1774005556.119637,0.168748,[]
100,1774005556.288959,0.169322,["Key.space"]
101,1774005556.459727,0.170768,[]
102,1774005556.617439,0.157712,[]
103,1774005556.783042,0.165603,["Key.left"]
104,1774005556.946729,0.163687,[]
105,1774005557.106275,0.159546,[]
106,1774005557.287061,0.180786,["Key.left"]
107,1774005557.455587,0.168526,[]
108,1774005557.612141,0.156554,[]
109,1774005557.758976,0.146835,["Key.left"]
110,1774005557.925552,0.166575,[]
111,1774005558.073825,0.148273,[]
112,1774005558.241771,0.167946,["Key.left"]
113,1774005558.409051,0.167280,[]
