frame_idx,t,dt,keys_down
0,1774005108.544821,0.000420,[]
1,1774005108.595914,0.051092,[]
2,1774005108.715497,0.119584,[]
3,1774005108.862229,0.146731,[]
4,1774005108.989806,0.127578,[]
5,1774005109.129884,0.140078,[]
6,1774005109.264882,0.134997,["Key.left"]
7,1774005109.429134,0.164252,[]
8,1774005109.582697,0.153563,[]
9,1774005109.730347,0.147650,["Key.space"]
10,1774005109.859102,0.128755,[]
11,1774005110.006941,0.147838,[]
12,1774005110.172242,0.165302,["Key.left"]
13,1774005110.315865,0.143623,[]
14,1774005110.480268,0.164402,[]
15,1774005110.620317,0.140050,["Key.right"]
16,1774005110.783974,0.163657,[]
17,1774005110.946119,0.162145,[]
18,1774005111.105971,0.159851,["Key.space"]
19,1774005111.247947,0.141976,[]
20,1774005111.412170,0.164223,[]
21,1774005111.589476,0.177306,["Key.right"]
22,1774005111.727146,0.137671,[]
23,1774005111.858885,0.131738,[]
24,1774005112.000478,0.141594,["Key.right"]
25,1774005112.138164,0.137686,[]
26,1774005112.296184,0.158020,[]
27,1774005112.446104,0.149920,["Key.left"]
28,1774005112.591279,0.145174,[]
29,1774005112.745314,0.154035,[]
30,1774005112.887981,0.142668,["Key.right"]
31,1774005113.039654,0.151672,[]
32,1774005113.178118,0.138464,[]
33,1774005113.323117,0.145000,["Key.left"]
34,1774005113.495558,0.172441,[]
35,1774005113.670571,0.175013,[]
36,1774005113.848696,0.178125,["Key.space"]
37,1774005114.046602,0.197906,[]
38,1774005114.218415,0.171813,["Key.space"]
39,1774005114.396120,0.177705,[]
40,1774005114.551423,0.155303,[]
41,1774005114.738206,0.186783,["Key.left"]
42,1774005114.931476,0.193270,[]
43,1774005115.096413,0.164937,["Key.right"]
44,1774005115.282770,0.186357,[]
45,1774005115.464885,0.182115,["Key.space"]
46,1774005115.627242,0.162358,[]
47,1774005115.796486,0.169244,[]
48,1774005115.957900,0.161414,["Key.right"]
49,1774005116.115763,0.157862,[]
50,1774005116.295079,0.179316,[]
51,1774005116.480270,0.185191,["Key.space"]
52,1774005116.671051,0.190781,[]
53,1774005116.875172,0.204121,["Key.left"]
54,1774005117.063624,0.188452,[]
55,1774005117.224301,0.160678,["Key.right"]
56,1774005117.409451,0.185149,[]
57,1774005117.585739,0.176288,["Key.left"]
58,1774005117.785779,0.200040,[]
59,1774005117.970150,0.184371,["Key.left"]
60,1774005118.152499,0.182349,[]
61,1774005118.338946,0.186447,["Key.left"]
62,1774005118.517643,0.178697,[]
63,1774005118.690554,0.172911,[]
64,1774005118.883790,0.193237,["Key.right"]
65,1774005119.081428,0.197638,[]
66,1774005119.274583,0.193155,["Key.space"]
67,1774005119.455546,0.180963,[]
68,1774005119.639839,0.184293,["Key.left"]
69,1774005119.824841,0.185002,[]
70,1774005119.998570,0.173729,["Key.right"]
71,1774005120.183437,0.184867,[]
72,1774005120.349923,0.166486,["Key.space"]
73,1774005120.522556,0.172633,[]
74,1774005120.682465,0.159909,[]
75,1774005120.847558,0.165094,["Key.right"]
76,1774005120.993991,0.146432,[]
77,1774005121.143323,0.149333,[]
78,1774005121.297558,0.154235,["Key.left"]
79,1774005121.452539,0.154981,[]
