frame_idx,t,dt,keys_down
134,1774004672.922489,0.153723,[]
135,1774004673.076539,0.154050,[]
136,1774004673.241553,0.165014,[]
137,1774004673.414113,0.172560,[]
138,1774004673.588041,0.173928,[]
139,1774004673.752637,0.164596,[]
140,1774004673.928696,0.176059,[]
141,1774004674.074909,0.146213,[]
142,1774004674.225573,0.150664,[]
143,1774004674.387779,0.162206,[]
144,1774004674.545110,0.157330,[]
145,1774004674.697800,0.152691,[]
146,1774004674.872806,0.175006,[]
147,1774004675.031028,0.158222,[]
148,1774004675.200437,0.169409,[]
149,1774004675.353870,0.153433,[]
150,1774004675.508164,0.154294,[]
151,1774004675.662904,0.154741,[]
152,1774004675.810888,0.147983,[]
153,1774004675.956231,0.145343,[]
154,1774004676.113549,0.157318,[]
155,1774004676.263583,0.150034,[]
156,1774004676.405427,0.141844,[]
157,1774004676.562363,0.156936,[]
158,1774004676.711078,0.148715,[]
159,1774004676.863791,0.152713,[]
160,1774004677.008382,0.144591,[]
161,1774004677.179184,0.170802,[]
162,1774004677.334289,0.155104,[]
163,1774004677.507215,0.172927,[]
164,1774004677.659557,0.152342,[]
165,1774004677.808574,0.149017,[]
166,1774004677.959698,0.151125,[]
167,1774004678.115234,0.155536,[]
168,1774004678.280104,0.164870,[]
169,1774004678.428580,0.148476,["Key.right"]
170,1774004678.584922,0.156342,["Key.right"]
171,1774004678.741816,0.156894,[]
172,1774004678.900092,0.158276,[]
173,1774004679.067205,0.167114,[]
174,1774004679.229681,0.162476,["Key.right", "Key.space"]
175,1774004679.377682,0.148001,["Key.right", "Key.space"]
176,1774004679.526376,0.148694,[]
177,1774004679.685330,0.158954,[]
178,1774004679.849706,0.164377,["Key.left"]
179,1774004680.027953,0.178247,[]
180,1774004680.180770,0.152817,[]
181,1774004680.350091,0.169321,[]
182,1774004680.510377,0.160286,[]
183,1774004680.678922,0.168545,[]
184,1774004680.825870,0.146948,[]
185,1774004680.981624,0.155754,[]
186,1774004681.153109,0.171485,[]
187,1774004681.312965,0.159856,[]
188,1774004681.462286,0.149321,[]
189,1774004681.621714,0.159429,[]
190,1774004681.805065,0.183351,[]
191,1774004681.956759,0.151694,[]
192,1774004682.108186,0.151427,[]
193,1774004682.262771,0.154585,[]
194,1774004682.418859,0.156088,[]
195,1774004682.576181,0.157322,[]
196,1774004682.728583,0.152401,[]
197,1774004682.884366,0.155783,[]
198,1774004683.059628,0.175262,[]
199,1774004683.221268,0.161639,[]
200,1774004683.384647,0.163379,[]
201,1774004683.543113,0.158466,[]
202,1774004683.698075,0.154962,[]
203,1774004683.863258,0.165183,[]
204,1774004684.018312,0.155054,[]
205,1774004684.185255,0.166943,[]
206,1774004684.342351,0.157096,[]
207,1774004684.495155,0.152804,[]
208,1774004684.653358,0.158203,[]
209,1774004684.817905,0.164547,[]
210,1774004684.978468,0.160563,[]
211,1774004685.138021,0.159554,[]
212,1774004685.301357,0.163336,[]
213,1774004685.469625,0.168268,[]
214,1774004685.631057,0.161432,[]
215,1774004685.794525,0.163468,[]
216,1774004685.944487,0.149962,[]
217,1774004686.110738,0.166251,[]
218,1774004686.271048,0.160310,[]
219,1774004686.426638,0.155590,[]
220,1774004686.578126,0.151488,["Key.space"]
221,1774004686.725119,0.146993,["Key.right", "Key.space"]
222,1774004686.885979,0.160860,[]
223,1774004687.061095,0.175116,[]
224,1774004687.221419,0.160324,["Key.right"]
225,1774004687.380437,0.159018,["Key.right"]
226,1774004687.536392,0.155955,["Key.right"]
227,1774004687.702743,0.166351,["Key.right"]
228,1774004687.870574,0.167831,["Key.right"]
229,1774004688.028196,0.157622,["Key.right"]
230,1774004688.180210,0.152015,["Key.left"]
231,1774004688.338537,0.158327,[]
232,1774004688.496465,0.157928,["Key.right"]
233,1774004688.656724,0.160259,[]
234,1774004688.824662,0.167938,[]
235,1774004688.990267,0.165605,["Key.left"]
236,1774004689.144076,0.153809,[]
237,1774004689.298682,0.154607,[]
238,1774004689.484166,0.185484,[]
239,1774004689.652814,0.168648,[]
